Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Business Process Management,Lecture Notes in Computer Science,,,,10.1007/978-3-030-85469-0,Dr. Artem PolyvyanyyDr. Moe Thandar WynnAmy Van LooyProf. Dr. Manfred Reichert,2021,http://link.springer.com/book/10.1007/978-3-030-85469-0,Book
Business Process Management,Lecture Notes in Computer Science,,,,10.1007/978-3-030-58666-9,Dirk FahlandChiara GhidiniProf. Dr. Jörg BeckerProf. Marlon Dumas,2020,http://link.springer.com/book/10.1007/978-3-030-58666-9,Book
Encyclopedia of Big Data Technologies,,,,,10.1007/978-3-319-77525-8,Sherif SakrAlbert Y. Zomaya,2019,http://link.springer.com/referencework/10.1007/978-3-319-77525-8,ReferenceWork
"Enterprise, Business-Process and Information Systems Modeling",Lecture Notes in Business Information Processing,,,,10.1007/978-3-030-79186-5,Adriano AugustoAsif GillSelmin NurcanDr. Iris Reinhartz-BergerProf. Rainer SchmidtJelena Zdravkovic,2021,http://link.springer.com/book/10.1007/978-3-030-79186-5,Book
Process Mining,,,,,10.1007/978-3-662-49851-4,Wil van der Aalst,2016,http://link.springer.com/book/10.1007/978-3-662-49851-4,Book
Artificial Intelligence and Soft Computing,Lecture Notes in Computer Science,,,,10.1007/978-3-030-87897-9,Prof. Leszek RutkowskiDr. Rafał SchererMarcin KorytkowskiWitold PedryczProf. Ryszard TadeusiewiczDr. Jacek M. Zurada,2021,http://link.springer.com/book/10.1007/978-3-030-87897-9,Book
A Framework for Explainable Concept Drift Detection in Process Mining,Business Process Management,,,,10.1007/978-3-030-85469-0_25,Jan Niklas AdamsSebastiaan J. van ZelstLara QuackKathrin HausmannWil M. P. van der AalstThomas Rose,2021,http://link.springer.com/chapter/10.1007/978-3-030-85469-0_25,Chapter
Business Process Management Forum,Lecture Notes in Business Information Processing,,,,10.1007/978-3-030-85440-9,Dr. Artem PolyvyanyyDr. Moe Thandar WynnDr. Amy Van LooyManfred Reichert,2021,http://link.springer.com/book/10.1007/978-3-030-85440-9,Book
Encyclopedia of Database Systems,,,,,10.1007/978-0-387-39940-9,LING LIUM. TAMER ÖZSU,2009,http://link.springer.com/referencework/10.1007/978-0-387-39940-9,ReferenceWork
Data Management Technologies and Applications,Communications in Computer and Information Science,,,,10.1007/978-3-030-83014-4,Slimane HammoudiChristoph QuixJorge Bernardino,2021,http://link.springer.com/book/10.1007/978-3-030-83014-4,Book
Handling Concept Drift in Process Mining,Advanced Information Systems Engineering,,,,10.1007/978-3-642-21640-4_30,R. P. Jagadeesh Chandra BoseWil M. P. van der AalstIndrė ŽliobaitėMykola Pechenizkiy,2011,http://link.springer.com/chapter/10.1007/978-3-642-21640-4_30,Chapter
A Robust and Accurate Approach to Detect Process Drifts from Event Streams,Business Process Management,,,,10.1007/978-3-030-85469-0_24,Yang LuQifan ChenSimon Poon,2021,http://link.springer.com/chapter/10.1007/978-3-030-85469-0_24,Chapter
Comprehensive Process Drift Detection with Visual Analytics,Conceptual Modeling,,,,10.1007/978-3-030-33223-5_11,Anton YeshchenkoClaudio Di CiccioJan MendlingArtem Polyvyanyy,2019,http://link.springer.com/chapter/10.1007/978-3-030-33223-5_11,Chapter
Fast and Accurate Business Process Drift Detection,Business Process Management,,,,10.1007/978-3-319-23063-4_27,Abderrahmane MaaradjiMarlon DumasMarcello La RosaAlireza Ostovar,2015,http://link.springer.com/chapter/10.1007/978-3-319-23063-4_27,Chapter
Interactive Process Drift Detection Framework,Artificial Intelligence and Soft Computing,,,,10.1007/978-3-030-87897-9_18,Denise Maria Vecino SatoJean Paul BarddalEdson Emilio Scalabrin,2021,http://link.springer.com/chapter/10.1007/978-3-030-87897-9_18,Chapter
Filtering Spurious Events from Event Streams of Business Processes,Advanced Information Systems Engineering,,,,10.1007/978-3-319-91563-0_3,Sebastiaan J. van ZelstMohammadreza Fani SaniAlireza OstovarRaffaele ConfortiMarcello La Rosa,2018,http://link.springer.com/chapter/10.1007/978-3-319-91563-0_3,Chapter
Process Mining for Stream Data Sources,Process Mining Techniques in Business Environments,,,,10.1007/978-3-319-17482-2_17,Andrea Burattin,2015,http://link.springer.com/chapter/10.1007/978-3-319-17482-2_17,Chapter
Encyclopedia of Social Network Analysis and Mining,,,,,10.1007/978-1-4939-7131-2,Reda AlhajjJon Rokne,2018,http://link.springer.com/referencework/10.1007/978-1-4939-7131-2,ReferenceWork
Service-Oriented Computing  – ICSOC 2020 Workshops,Lecture Notes in Computer Science,,,,10.1007/978-3-030-76352-7,Hakim HacidFatma OutayHye-young PaikAmira AlloumMarinella PetrocchiMohamed Reda BouadjenekDr. Amin BeheshtiXumin LiuAbderrahmane Maaradji,2021,http://link.springer.com/book/10.1007/978-3-030-76352-7,Book
Process Histories - Detecting and Representing Concept Drifts Based on Event Streams,On the Move to Meaningful Internet Systems. OTM 2018 Conferences,,,,10.1007/978-3-030-02610-3_18,Florian StertzStefanie Rinderle-Ma,2018,http://link.springer.com/chapter/10.1007/978-3-030-02610-3_18,Chapter
Event stream-based process discovery using abstract representations,Knowledge and Information Systems,,54.0,2,10.1007/s10115-017-1060-2,Sebastiaan J. van ZelstBoudewijn F. van DongenWil M. P. van der Aalst,2018,http://link.springer.com/article/10.1007/s10115-017-1060-2,Article
Detecting Process Concept Drifts from Event Logs,On the Move to Meaningful Internet Systems. OTM 2017 Conferences,,,,10.1007/978-3-319-69462-7_33,Canbin ZhengLijie WenJianmin Wang,2017,http://link.springer.com/chapter/10.1007/978-3-319-69462-7_33,Chapter
Quality of Information and Communications Technology,Communications in Computer and Information Science,,,,10.1007/978-3-030-85347-1,Prof. Ana C. R. PaivaAna Rosa CavalliPaula Ventura MartinsRicardo Pérez-Castillo,2021,http://link.springer.com/book/10.1007/978-3-030-85347-1,Book
Process Mining Manifesto,Business Process Management Workshops,,,,10.1007/978-3-642-28108-2_19,Wil van der AalstArya AdriansyahAna Karla Alves de MedeirosFranco ArcieriThomas BaierTobias BlickleJagadeesh Chandra BosePeter van den BrandRonald BrandtjenJoos BuijsAndrea BurattinJosep CarmonaMalu CastellanosJan ClaesJonathan CookNicola Costantini,2012,http://link.springer.com/chapter/10.1007/978-3-642-28108-2_19,Chapter
Detecting Drift from Event Streams of Unpredictable Business Processes,Conceptual Modeling,,,,10.1007/978-3-319-46397-1_26,Alireza OstovarAbderrahmane MaaradjiMarcello La RosaArthur H. M. ter HofstedeBoudewijn F. V. van Dongen,2016,http://link.springer.com/chapter/10.1007/978-3-319-46397-1_26,Chapter
Process Mining Reloaded: Event Structures as a Unified Representation of Process Models and Event Logs,Application and Theory of Petri Nets and Concurrency,,,,10.1007/978-3-319-19488-2_2,Marlon DumasLuciano García-Bañuelos,2015,http://link.springer.com/chapter/10.1007/978-3-319-19488-2_2,Chapter
Change Point Detection and Dealing with Gradual and Multi-order Dynamics in Process Mining,Perspectives in Business Informatics Research,,,,10.1007/978-3-319-21915-8_11,J. MartjushevR. P. Jagadeesh Chandra BoseWil M. P. van der Aalst,2015,http://link.springer.com/chapter/10.1007/978-3-319-21915-8_11,Chapter
Online Techniques for Dealing with Concept Drift in Process Mining,Advances in Intelligent Data Analysis XI,,,,10.1007/978-3-642-34156-4_10,Josep CarmonaRicard Gavaldà,2012,http://link.springer.com/chapter/10.1007/978-3-642-34156-4_10,Chapter
"Scientific workflows for process mining: building blocks, scenarios, and implementation",International Journal on Software Tools for Technology Transfer,,18.0,6,10.1007/s10009-015-0399-5,Alfredo BoltMassimiliano de LeoniWil M. P. van der Aalst,2016,http://link.springer.com/article/10.1007/s10009-015-0399-5,Article
Simultaneous Process Drift Detection and Characterization with Pattern-Based Change Detectors,Discovery Science,,,,10.1007/978-3-030-61527-7_30,Angelo ImpedovoPaolo MignoneCorrado LoglisciMichelangelo Ceci,2020,http://link.springer.com/chapter/10.1007/978-3-030-61527-7_30,Chapter
Business Process Management Cases,Management for Professionals,,,,10.1007/978-3-319-58307-5,Prof. Dr. Jan vom BrockeProf. Dr. Jan Mendling,2018,http://link.springer.com/book/10.1007/978-3-319-58307-5,Book
Removing Operational Friction Using Process Mining: Challenges Provided by the Internet of Production (IoP),Data Management Technologies and Applications,,,,10.1007/978-3-030-83014-4_1,Wil M. P. van der AalstTobias BrockhoffAnahita Farhang GhahfarokhiMahsa PourbafraniMerih Seran UysalSebastiaan J. van Zelst,2021,http://link.springer.com/chapter/10.1007/978-3-030-83014-4_1,Chapter
Intelligent Information Systems,Lecture Notes in Business Information Processing,,,,10.1007/978-3-030-79108-7,Selmin NurcanAxel Korthaus,2021,http://link.springer.com/book/10.1007/978-3-030-79108-7,Book
Concept Drift Detection on Streaming Data with Dynamic Outlier Aggregation,Process Mining Workshops,,,,10.1007/978-3-030-72693-5_16,Ludwig ZellnerFlorian RichterJanina SontheimAndrea MaldonadoThomas Seidl,2021,http://link.springer.com/chapter/10.1007/978-3-030-72693-5_16,Chapter
Characterizing Drift from Event Streams of Business Processes,Advanced Information Systems Engineering,,,,10.1007/978-3-319-59536-8_14,Alireza OstovarAbderrahmane MaaradjiMarcello La RosaArthur H. M. ter Hofstede,2017,http://link.springer.com/chapter/10.1007/978-3-319-59536-8_14,Chapter
A Survey of Process Mining Competitions: The BPI Challenges 2011–2018,Business Process Management Workshops,,,,10.1007/978-3-030-37453-2_22,Iezalde F. LopesDiogo R. Ferreira,2019,http://link.springer.com/chapter/10.1007/978-3-030-37453-2_22,Chapter
"Process Cubes: Slicing, Dicing, Rolling Up and Drilling Down Event Data for Process Mining",Asia Pacific Business Process Management,,,,10.1007/978-3-319-02922-1_1,Wil M. P. van der Aalst,2013,http://link.springer.com/chapter/10.1007/978-3-319-02922-1_1,Chapter
Online Process Discovery to Detect Concept Drifts in LTL-Based Declarative Process Models,On the Move to Meaningful Internet Systems: OTM 2013 Conferences,,,,10.1007/978-3-642-41030-7_7,Fabrizio Maria MaggiAndrea BurattinMarta CimitileAlessandro Sperduti,2013,http://link.springer.com/chapter/10.1007/978-3-642-41030-7_7,Chapter
New Trends in Database and Information Systems,Communications in Computer and Information Science,,,,10.1007/978-3-030-85082-1,Ladjel BellatrecheProf. Marlon DumasPanagiotis KarrasProf. Dr. Raimundas MatulevičiusAhmed AwadProf. Dr. Matthias WeidlichProf. Mirjana IvanovićOlaf Hartig,2021,http://link.springer.com/book/10.1007/978-3-030-85082-1,Book
Process Mining in the Large,Process Mining,,,,10.1007/978-3-662-49851-4_12,Wil van der Aalst,2016,http://link.springer.com/chapter/10.1007/978-3-662-49851-4_12,Chapter
TESSERACT: Time-Drifts in Event Streams Using Series of Evolving Rolling Averages of Completion Times,Business Process Management,,,,10.1007/978-3-319-65000-5_17,Florian RichterThomas Seidl,2017,http://link.springer.com/chapter/10.1007/978-3-319-65000-5_17,Chapter
A Tour in Process Mining: From Practice to Algorithmic Challenges,Transactions on Petri Nets and Other Models of Concurrency XIV,,,,10.1007/978-3-662-60651-3_1,Wil van der AalstJosep CarmonaThomas ChatainBoudewijn van Dongen,2019,http://link.springer.com/chapter/10.1007/978-3-662-60651-3_1,Chapter
When Process Mining Meets Bioinformatics,IS Olympics: Information Systems in a Diverse World,,,,10.1007/978-3-642-29749-6_14,R. P. Jagadeesh Chandra BoseWil M. P. van der Aalst,2012,http://link.springer.com/chapter/10.1007/978-3-642-29749-6_14,Chapter
Evaluating Conformance Measures in Process Mining Using Conformance Propositions,Transactions on Petri Nets and Other Models of Concurrency XIV,,,,10.1007/978-3-662-60651-3_8,Anja F. SyringNiek TaxWil M. P. van der Aalst,2019,http://link.springer.com/chapter/10.1007/978-3-662-60651-3_8,Chapter
Computational Science – ICCS 2021,Lecture Notes in Computer Science,,,,10.1007/978-3-030-77967-2,Prof. Maciej PaszynskiProf. Dr. Dieter KranzlmüllerDr. Valeria V. KrzhizhanovskayaProf. Jack J. DongarraProf. Dr. Peter M.A. Sloot,2021,http://link.springer.com/book/10.1007/978-3-030-77967-2,Book
